262.524,1,195916
264.679,1,195765
266.832,1,196421
268.985,1,196880
271.135,1,198027
273.285,1,198954
275.433,1,200830
277.580,1,202038
279.726,1,203032
281.871,1,204451
284.014,1,204542
286.156,1,205214
288.297,1,205704
290.436,1,205752
292.575,1,205760
294.712,1,207162
296.847,1,208132
298.982,1,208869
301.115,1,210084
303.247,1,210453
305.378,1,210752
307.507,1,211278
309.635,1,211416
311.762,1,211864
313.888,1,211997
316.013,1,212447
318.136,1,213493
320.258,1,213769
322.379,1,214841
324.498,1,215647
326.616,1,215803
328.733,1,216334
330.849,1,216320
332.964,1,216606
335.077,1,216952
337.189,1,217450
339.300,1,217995
341.409,1,218147
343.517,1,218793
345.625,1,219361
347.730,1,219931
349.835,1,220422
351.938,1,220152
354.040,1,220935
356.141,1,220517
358.241,1,221114
360.339,1,221656
362.437,1,221734
364.533,1,221953
366.627,1,222597
368.721,1,223005
370.813,1,223601
372.904,1,223892
374.994,1,223915
377.082,1,224166
379.170,1,224469
381.256,1,225089
383.341,1,224993
385.425,1,225958
387.507,1,225990
389.588,1,226375
391.668,1,226163
393.747,1,226710
395.825,1,226609
397.901,1,227743
399.976,1,227553
402.050,1,227953
404.123,1,228425
406.194,1,228589
408.265,1,228507
410.334,1,227977
412.402,1,229673
414.468,1,229553
416.534,1,229607
418.598,1,229933
420.661,1,230058
422.723,1,230340
424.783,1,231346
426.843,1,231264
428.901,1,231899
430.958,1,231247
433.014,1,232130
435.068,1,232684
437.122,1,232661
439.174,1,232548
441.225,1,233035
443.274,1,233335
445.323,1,233622
447.370,1,233878
449.416,1,233787
451.461,1,234448
453.505,1,234298
455.548,1,234751
457.589,1,235019
459.629,1,235094
461.668,1,235232
463.706,1,235581
465.742,1,235623
467.778,1,235810
469.812,1,235959
471.845,1,236128
473.877,1,236885
475.907,1,236910
477.937,1,237107
479.965,1,237680
481.992,1,237820
484.018,1,237805
486.043,1,238294
488.066,1,238145
490.088,1,238634
492.110,1,238774
494.129,1,238914
496.148,1,239048
498.166,1,240094
500.182,1,239690
502.197,1,240198
504.211,1,240202
506.224,1,240301
508.236,1,239940
510.246,1,240735
512.256,1,241180
514.264,1,241169
516.271,1,241280
518.277,1,241625
520.281,1,241572
522.285,1,241826
524.287,1,242198
526.288,1,242123
528.288,1,242025
530.287,1,242474
532.284,1,242645
534.281,1,243143
536.276,1,243149
538.270,1,243543
540.263,1,243931
542.255,1,243925
544.245,1,243536
546.235,1,244284
548.223,1,244125
550.210,1,244848
552.196,1,244950
554.180,1,244886
556.164,1,245128
558.146,1,245657
560.128,1,245987
562.108,1,246358
564.087,1,246483
566.065,1,246298
568.041,1,247217
570.017,1,247203
571.991,1,247477
573.964,1,247435
575.936,1,247594
577.907,1,247881
579.877,1,248009
581.845,1,248143
583.813,1,248453
585.779,1,248969
587.744,1,248744
589.708,1,249275
591.671,1,249869
593.632,1,249848
595.593,1,249977
597.552,1,250389
